id,genres,name,platforms,rating,companies,release_date
49875,"Puzzle, Strategy",Tetris DX,Game Boy Color,92.64055351763324,"Nintendo, Gradiente",1998-10-21
3349,"Role-playing (RPG), Turn-based strategy (TBS), Adventure",Paper Mario: The Thousand-Year Door,Nintendo GameCube,92.62587528089817,"Nintendo, Intelligent Systems",2004-07-22
128773,Fighting,Mobile Suit Gundam: Extreme vs. Maxiboost - On,"PlayStation 4, Arcade",92.55729423005363,"Bandai Namco Studios, Bandai Namco Games, Bandai Namco Entertainment",2016-03-09
51317,Platform,Knytt Stories,PC (Microsoft Windows),92.54559103905694,Nicklas Nygren,2007-09-30
7406,"Platform, Adventure, Indie",Aquaria,"Linux, PC (Microsoft Windows), Mac, Android, iOS",92.37947172072467,Bit Blot,2007-12-07
102129,"Platform, Adventure",Astro Bot: Rescue Mission,PlayStation VR,92.35466309272763,"SIE Japan Studio, Sony Interactive Entertainment",2018-10-02
14593,"Platform, Adventure, Indie",Hollow Knight,"Linux, PC (Microsoft Windows), Mac, Wii U, Nintendo Switch",92.26277425728969,Team Cherry,2017-02-24
78460,"Role-playing (RPG), Adventure",Mass Effect 3: Extended Cut,"PC (Microsoft Windows), PlayStation 3, Xbox 360",92.10969159722531,"Electronic Arts, BioWare",2012-07-04
149292,"Simulator, Sport, Arcade",Alley Catz Bowling,PC (Microsoft Windows),92.06611570247935,Alley Catz,2021-05-27
23,"Shooter, Role-playing (RPG)",System Shock,"DOS, Mac, PC-9800 Series",92.06339563306648,"Looking Glass Studios, Origin Systems, Electronic Arts Victor",1994-09-22
105624,"Strategy, Indie, Card & Board Game",Rento Fortune Monolit,"PC (Microsoft Windows), Android, iOS, PlayStation 4, Xbox One, Nintendo Switch",92.0,LAN Games EOOD,2017-07-14
20398,"Role-playing (RPG), Adventure",Chrono Trigger,Nintendo DS,91.87117324579084,"Square Enix, Square Enix Product Development Division 5, Tose",2008-11-20
1454,"Role-playing (RPG), Strategy",Suikoden II,"PC (Microsoft Windows), PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita",91.80090114900241,Konami,1998-12-17
72,"Shooter, Platform, Puzzle, Adventure",Portal 2,"Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Nintendo Switch",91.65127365897634,"Valve, Electronic Arts",2011-04-18
